Restaurant Name,Location,Menu Item,Veg/Non-Veg,Description,Cost,Rating,Special Features,Operating Hours,Phone Number
Royal Kitchen,Indira Nagar,Dal Ki Tikki,Veg Item,Mix chatpati daal ki tikki 16 pie's Swipe right to add item to cart.,269,3.3,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Aloo Tamator Latpataar Sabji,Veg Item,Aloo tamator latpataar chatpati semi grevy sabji Swipe right to add item to cart.,260,3.8,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Aloo Tamator Latpataar Sabji,Veg Item,Aloo tamator latpataar chatpati semi grevy sabji Swipe right to add item to cart.,260,3.0,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Butter Tava Roti 1Pcs,Veg Item,"Indulge in the delightful taste of our buttery and soft tava roti, perfect for those late-night cravings. Swipe right to add item to cart.",25,3.2,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Stuff Baigan,Veg Item,A flavorsome and savory dish that will satisfy your late-night cravings with its rich and luscious blend of ingredients. Swipe right to add item to cart.,220,3.0,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Puri Sabji,Veg Item,"Seasonal veg 5 pudi salad,achaar, rayta Swipe right to add item to cart.",199,3.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Baigan Bharta,Veg Item,Bhune baigan ka bharta with mashed potato Swipe right to add item to cart.,220,3.4,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Kathal with paratha,Veg Item,4 pcs paratha Swipe right to add item to cart.,220,3.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Kathal with paratha,Veg Item,4 pcs paratha Swipe right to add item to cart.,220,2.9,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Kheer,Veg Item,"A delectable vegetarian dessert that blends creamy textures with sweet flavors, creating a delightful treat for any occasion. Swipe right to add item to cart.",220,3.4,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Dal Ki Tikki,Veg Item,Mix chatpati daal ki tikki 16 pie's Swipe right to add item to cart.,269,2.8,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Aloo Tamator Latpataar Sabji,Veg Item,Aloo tamator latpataar chatpati semi grevy sabji Swipe right to add item to cart.,260,3.1,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Aloo Tamator Latpataar Sabji,Veg Item,Aloo tamator latpataar chatpati semi grevy sabji Swipe right to add item to cart.,260,3.1,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Butter Tava Roti 1Pcs,Veg Item,"Indulge in the delightful taste of our buttery and soft tava roti, perfect for those late-night cravings. Swipe right to add item to cart.",25,3.2,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Stuff Baigan,Veg Item,A flavorsome and savory dish that will satisfy your late-night cravings with its rich and luscious blend of ingredients. Swipe right to add item to cart.,220,2.8,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Puri Sabji,Veg Item,"Seasonal veg 5 pudi salad,achaar, rayta Swipe right to add item to cart.",199,3.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Baigan Bharta,Veg Item,Bhune baigan ka bharta with mashed potato Swipe right to add item to cart.,220,2.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Kathal with paratha,Veg Item,4 pcs paratha Swipe right to add item to cart.,220,3.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Kathal with paratha,Veg Item,4 pcs paratha Swipe right to add item to cart.,220,3.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Egg thal,Veg Item,"4 roti, rice, rayta, salad, egg Curry Swipe right to add item to cart.",290,3.1,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Vrat Falahaar,Veg Item,"Aaloo, sabudana,, Dhaniya, makhana, sendha namak Swipe right to add item to cart.",230,3.1,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Hare Matar Ki Kachori,Veg Item,"Experience the delectable flavors of Hare Matar Ki Kachori, a mouthwatering vegetarian delight from the Thaal category that will tantalize your taste buds. Swipe right to add item to cart.",360,3.4,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,"Makhane, Kaju, Paneer Ki Mix Sbzi",Veg Item,"A delectable mix of crunchy makhane, rich kaju, and velvety paneer, creating a mouthwatering veg dish that will leave you craving for more. Swipe right to add item to cart.",399,2.7,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
Royal Kitchen,Indira Nagar,Aaloo Gobhi Hare Matar Ki Sbzi,Veg Item,"A delectable Thaal dish bursting with flavors of potatoes, cauliflower, and fresh green peas cooked to perfection. Swipe right to add item to cart.",300,3.6,"Non-Veg, Spicy",12 PM - 12 AM,+91 8765432109
