Product Name,Veg/Non-Veg,Description,Cost,Rating
Craving Saving meal,Non-veg item,"Crave & Save whooping Rs. 213 on 4 Pc Hot & Crispy, 4 Pc Peri Peri Strips, Medium Popcorn, 2 Dips & a Pepsi PET 475ml [Serves 2-3] Swipe right to add item to cart.",779,NA
Party Bucket Meal,Non-veg item,"Party time Savings of Rs. 102 on 4 Pc Peri Peri Chicken Leg Pc, 2 Pc Peri Peri Strips, Regular Popcorn & a Pepsi PET 475ml [Serves 2] Swipe right to add item to cart.",649,NA
Insta Reel Korean Roll Meal,Non-veg item,"Flat Rs. 57 off on Tangy Korean Chicken Roll, 2 Pc Hot & Crispy, 7Up Zero Sugar Can [Serves 1] This item is customizable. Swipe right to add item to cart.",349,NA
Night Owl Roll combo,Non-veg item,Eye opener deal on Classic Chicken Roll & Medium Fries [Serves 1] This item is customizable. Swipe right to add item to cart.,199,NA
Rice Krunch Bowl Combo,Non-veg item,Krunchy savings of Rs. 69 on Popcorn Chicken Rice Bowl and 4 Pc Peri Peri Strips [Serves 1-2] This item is customizable. Swipe right to add item to cart.,399,NA
Peri Peri Binge Watch combo,Non-veg item,"Binge & Save Rs. 95 on 4 Pc Peri Peri Leg pc, 2 Pc Peri Peri Strips & Regular Popcorn Swipe right to add item to cart.",599,NA
Thai Roll Dream meal,Non-veg item,"Dream deal of Rs.74 on 2 units of Thai Spicy Chicken Roll, 2 units of Popcorn Rice Bowl and a Pepsi PET 475ml [Serves 2] Swipe right to add item to cart.",649,NA
Night Shift Zinger Pro Meal,Non-veg item,"Relax in Night shift and save Rs. 66 on Zinger Pro Burger, Large Popocorn and 7Up Zero Sugar Can [Serves 1-2] This item is customizable. Swipe right to add item to cart.",489,NA
Rice & Bites combo,Non-veg item,Deal meal of Hot & Crispy Rice Bowl and Large Popcorn [Serves 1] This item is customizable. Swipe right to add item to cart.,449,NA
Midnight Spicy Zinger & Popcorn Meal,Non-veg item,"Midnight special savings of Rs. 66 on Spicy Zinger, Large Popcorn and Pepsi Black Can [Serves 1-2] This item is customizable. Swipe right to add item to cart.",459,NA
Gaming Night Korean Roll meal,Non-veg item,"Night fun savings of Rs. 74 on 2 units of Korean Tangy Chicken Roll, 2 units of Popcorn Rice Bowl and a Pepsi PET 475ml [Serves 2] This item is customizable. Swipe right to add item to cart.",649,NA
Lazy BFF Rice combo,Non-veg item,BFF deal savings of Rs. 89 on 2 units of Popcorn Rice Bowl and 4 Leg Pc [Serves 2] This item is customizable. Swipe right to add item to cart.,799,NA
Night Bite Veg Roll combo,Veg Item,Munching deal of Rs. 39 on Veg Spicy Roll & Large Fries [Serves 1] This item is customizable. Swipe right to add item to cart.,199,NA
Still Awake Veg Zinger Meal,Veg Item,"Special Veg deal with Rs. 66 off on Veg Zinger Burger, Large Fries & a Pepsi Black Can [Serves 1] This item is customizable. Swipe right to add item to cart.",299,NA
Cricket Crunch Meal,Non-veg item,"Crunchy Savings of Rs. 75 & Enjoy 2pc Hot & Crispy Chicken, 4 chicken wings , 2 dips & a chilled Pepsi Black Can 300ml [serves 1-2] Swipe right to add item to cart.",449,NA
Dream Team Meal,Non-veg item,"Enjoy Special 11Pc Dream meal by saving Rs. 164 on 3 Pc Chicken Leg Piece, 4 Pc Peri peri Strips & 4 Pc Hot Wings [Serves 2-4] Swipe right to add item to cart.",599,NA
Clean Bowled Combo,Non-veg item,Clean Bowled savings of Rs. 132 on 5 Pc Chicken Leg Piece & 5 Pc Hot Wings [Serves 3-4] Swipe right to add item to cart.,666,NA
Super Over Meal,Non-veg item,"Special Super Over Chicken Meal of Classic Chicken Zinger Burger, Medium French Fries & a chilled Pepsi Black Can 300ml with savings of Rs. 26 [Serves 1] Swipe right to add item to cart.",329,NA
Super 6s Chicken Bucket,Non-veg item,Sixer Savings of Rs. 249 off on Special Bucket of 6 Pc Chicken Leg Piece & 6 Pc Peri Peri Chicken Strips [Serves 2] Swipe right to add item to cart.,799,NA
Rolls Super Kings,Non-veg item,"Super Savings of Rs. 75 on 2 Classic chicken Roll, 4 Pc Hot Wings and a Pepsi PET 475ml [Serves 1-2] Swipe right to add item to cart.",399,NA
Green Pitch Meal,Veg Item,"Veg Lovers now save Rs. 252 on Veg meal of 2 Veg Zinger Burgers, 2 Veg Longers, Large Fries and a Pepsi PET 475ml [Serves 2-3] Swipe right to add item to cart.",499,NA
LBW Chicken Bucket,Non-veg item,Leg Piece before any wicket! Deal savings of Rs. 308 on 10 Pc Chicken Leg Piece & a Pepsi PET 475 ml [Serves 3-5] Swipe right to add item to cart.,899,NA
Korean & Thai Roll Chicken Meal,Non-veg item,"Rs. 133 Off on Korean Tangy Roll & Thai Spicy Roll, Large Popcorn, Large Fries & Pepsi PET 475ml This item is customizable. Swipe right to add item to cart.",569,NA
Indian Tandoori Roll Chicken Meal,Non-veg item,"Save Rs. 75 on Indian Tandoori Roll, Classic Zinger Burger, Medium Fries & Pepsi PET 475ml This item is customizable. Swipe right to add item to cart.",419,4.3
Korean Tangy Roll & Popcorn Chicken Meal,Non-veg item,"Save Rs. 56 with Korean Tangy Chicken Roll, Medium Popcorn and Pepsi PET 475ml This item is customizable. Swipe right to add item to cart.",319,5.0
Thai Spicy Roll & Zinger Chicken Meal,Non-veg item,"Save Rs. 75 with Thai Spicy Roll with Classic Zinger Burger, Medium Fries and Pepsi PET 475ml This item is customizable. Swipe right to add item to cart.",419,NA
American Roll & Popcorn Chicken Meal,Non-veg item,"Save Rs. 56 with American Nashville Chicken Roll, Medium Popcorn and Pepsi PET 475ml This item is customizable. Swipe right to add item to cart.",299,NA
Thai Spicy Roll & Popcorn Chicken Meal,Non-veg item,"Save Rs. 56 with Thai Spicy Chicken Roll, Medium Popcorn and Pepsi PET 475ml This item is customizable. Swipe right to add item to cart.",319,NA
Korean Tangy Roll & Zinger Chicken Meal,Non-veg item,"Save Rs. 75 with Korean Tangy Roll with Classic Zinger Burger, Medium Fries and Pepsi PET 475ml This item is customizable. Swipe right to add item to cart.",419,NA
Double Chicken Roll Meal for 1,Non-veg item,"Deal combo of 1 Double Chicken Roll, Large Fries, 2 Dips & Pepsi 475ml This item is customizable. Swipe right to add item to cart.",379.05,NA
Classic Chicken Roll Meal for 2,Non-veg item,"Deal combo of 2 Classic Chicken Rolls, Large Fries, 2 Dips & Pepsi 475ml This item is customizable. Swipe right to add item to cart.",479.05,NA
Korean Tangy Chicken Roll,Non-veg item,"Delicious new roll featuring tangy Korean kimchi, vegetables and crunchy chicken strips This item is customizable. Swipe right to add item to cart.",139,4.1
Thai Spicy Chicken Roll,Non-veg item,"Fresh burst of Thai flavours and sauces in a flaky paratha, chicken strips and vegetables This item is customizable. Swipe right to add item to cart.",139,4.0
Indian Tandoori Chicken Roll,Non-veg item,"Flavorful roll made with flaky lachha paratha, perfectly fried chicken strips in rich and creamy tandoori sauce This item is customizable. Swipe right to add item to cart.",139,4.4
Indian Spicy Veg Roll,Veg Item,Veg special spicy indian sauce and veggie roll This item is customizable. Swipe right to add item to cart.,119,4.9
Classic Chicken Roll,Non-veg item,"Street Syle Roll with Layerful parantha, single chicken strip, onions and two spicy sauce This item is customizable. Swipe right to add item to cart.",119,3.8
Double Chicken Roll,Non-veg item,"Double fun with double chicken strip filling, layerful parantha onions and two spicy sauce This item is customizable. Swipe right to add item to cart.",168.57,4.4
Spicy Zinger Burger and Popcorn Meal,Non-veg item,Caribbean Spicy Zinger Burger with Medium Popcorn and Pepsi PET 475ml at a deal price This item is customizable. Swipe right to add item to cart.,439.04,NA
Spicy Zinger Burger,Non-veg item,Relish the Caribbean spicy zinger This item is customizable. Swipe right to add item to cart.,219.04,4.4
Spicy Zinger Burger and Chicken Meal,Non-veg item,New Caribbean Spicy Zinger Burger with 1 Pc Hot & Crispy and Pepsi PET 475ml at a deal price This item is customizable. Swipe right to add item to cart.,379.04,3.6
Zinger Pro Burger & Popcorn Meal,Non-veg item,New Zinger Pro burger with Medium Popcorn & Pepsi 475ml at a deal price This item is customizable. Swipe right to add item to cart.,469,4.3
Zinger Pro Pepsi Bottle Combo,Non-veg item,Get Pepsi 330ml Reusable Bottle with Zinger Pro Burger This item is customizable. Swipe right to add item to cart.,329,NA
Zinger Pro Burger,Non-veg item,"Premium burger with crunchy chicken, Mexican Habanero sauce, cheese, tomato & onion This item is customizable. Swipe right to add item to cart.",249,4.1
Zinger Pro Burger & Chicken Meal,Non-veg item,New Zinger Pro burger with 1 Hot & Crispy chicken & Pepsi 475ml at a deal price This item is customizable. Swipe right to add item to cart.,409,5.0
Chicken Burger Buddy Meal,Non-veg item,Share 2 Classic Chicken Zingers & a Medium Popcorn in this delightful combo for 2 This item is customizable. Swipe right to add item to cart.,528.57,4.7
Mixed Chicken Zinger Burger Doubles,Non-veg item,Best-seller combo of classic chicken zinger & tandoori zinger This item is customizable. Swipe right to add item to cart.,368.57,3.6
Chicken Zinger Burger - Classic with Cheese,Non-veg item,"Signature burger with a crunchy chicken fillet, cheese slice, veggies & a delicious mayo sauce This item is customizable. Swipe right to add item to cart.",224.05,4.0
Chicken Zinger Burger - Tandoori with Cheese,Non-veg item,Chicken zinger with a��delicious tandoori sauce & cheese slice This item is customizable. Swipe right to add item to cart.,233.57,3.2
Paneer Zinger Burger,Veg Item,Relish the Indian paneer zinger This item is customizable. Swipe right to add item to cart.,208.57,4.7
Veg Zinger Burger with Cheese,Veg Item,"Signature veg burger with crispy patties, cheese slice, veggies & a tangy sauce This item is customizable. Swipe right to add item to cart.",213.57,NA
Chicken Zinger Burger - Classic,Non-veg item,"Relish the KFC Classic Zinger-lettuce, mayo & Zinger patty filled between This item is customizable. Swipe right to add item to cart.",199.04,4.2
Veg Zinger Burger,Veg Item,The OG Veg Zinger- Burgered to perfection This item is customizable. Swipe right to add item to cart.,198,3.7
Chicken Longer Burger & 2 Strips Combo,Non-veg item,"Longgg burger with crunchy chicken, onions & a punchy sauce , served with 2 peri peri chicken strips This item is customizable. Swipe right to add item to cart.",219.04,4.0
2 X Veg Longer Burger,Veg Item,"The really long burger with Veg Patty, Onion, Lettuce and two sauces This item is customizable. Swipe right to add item to cart.",198.09,4.6
Chicken Zinger Burger - Tandoori,Non-veg item,Grab Tandoori Zinger Burger with Onions & Tangy sauce This item is customizable. Swipe right to add item to cart.,208.57,4.1
2 Classic Chicken Krisper Burgers,Non-veg item,2 units of delicious chicken value burgers featuring delicious sauce Swipe right to add item to cart.,290,NA
2 X Veg Krisper Burgers,Veg Item,2 delicious veg value burgers - at a deal price This item is customizable. Swipe right to add item to cart.,188.57,3.7
All Chicken Box,Non-veg item,"Save Rs. 107 with special Chicken Box of 2 Pc Hot & Crispy, 2 Pc Peri Peri Strips, Medium Fries & a Pepsi PET 475ml [Serves 1-2] This item is customizable. Swipe right to add item to cart.",399,3.9
Classic Zinger Box,Non-veg item,"All new special Zinger Box with savings of Rs. 76 on Classic American Zinger Burger, 2 Pc Peri Peri Strips, Medium Fries & a Pepsi PET 475ml [Serves 1] This item is customizable. Swipe right to add item to cart.",399,4.3
Rice Box Meal,Non-veg item,"Save Rs. 106 with special Rice Box Meal of a Popcorn Rice Bowl, 2 Pc Peri Peri Strips, Medium Fries & a Pepsi PET 475ml [Serves 1-2] This item is customizable. Swipe right to add item to cart.",399,4.8
Roll Meal Box,Non-veg item,"Save Rs. 95 with special Roll Box Meal of a Classic Chicken Roll , 2 Pc Hot Wings, 2 Pc Peri Peri Strips, Medium Fries & a Pepsi PET 475ml [Serves 1-2] This item is customizable. Swipe right to add item to cart.",399,4.1
Veg Box Meal,Veg Item,"Enjoy special Veg Box Meal with savings of Rs. 101 on Veg Zinger Burger, 2 Pc Veg patty, Medium Fries & a Pepsi PET 475ml [Serves 1] This item is customizable. Swipe right to add item to cart.",399,4.5
Peri Peri Chicken 5 Leg Piece Meal,Non-veg item,"Leg before any wicket! Deal Bucket of 5 Spicy Peri Peri Leg Pieces, 1 Med Fries & a Pepsi PET 475ml [serves 2] This item is customizable. Swipe right to add item to cart.",659.05,NA
Peri Peri 10 Pc Chicken Strips & 2 Dips,Non-veg item,Save 24% on 10 Spicy Peri Peri chicken boneless strips with 2 Dips This item is customizable. Swipe right to add item to cart.,519.05,3.8
5 Leg Pc & Pepsi Bottle Combo,Non-veg item,Get Pepsi 330ml Reusable Bottle with 5 Pc Peri Per Chicken Leg Piece and 2 Dips (20gms each) This item is customizable. Swipe right to add item to cart.,599,NA
Peri Peri Chicken 10 Leg Pc & 4 Dips,Non-veg item,Save 19% on 10 KFC Peri Peri Leg Piece with 4 dips(20gm each) This item is customizable. Swipe right to add item to cart.,968.57,3.7
Peri Peri Chicken 5 Leg Piece Bucket,Non-veg item,Deal Bucket of 5 Spicy Peri Peri Leg Pieces [serves 2] This item is customizable. Swipe right to add item to cart.,528.57,3.9
Peri Peri Chicken Strips - 6 Pc,Non-veg item,Signature Chicken Strips sprinkled with Peri Peri- 6 Peri Peri Strips- Ultimate Snack! This item is customizable. Swipe right to add item to cart.,308.57,4.3
Chicken Bucket for Two,Non-veg item,"Flat Rs. 115 off on combo of 2pc Hot & Crispy, 2 pc Smoky Red Chicken & Large Popcorn This item is customizable. Swipe right to add item to cart.",599.05,4.6
Chicken Mingles Bucket Meal,Non-veg item,"Save Rs. 71 on 4 Wings,2 Peri Strips, Reg Popcorn, Med Fries & 1 Pepsi 475ml This item is customizable. Swipe right to add item to cart.",519.05,3.7
Chicken Mingles Bucket,Non-veg item,"Save Rs. 26 and Mingle with 4 Chicken Hot Wings, 2 Chicken peri peri boneless strips & a Regular Popcorn [serves 1-2] This item is customizable. Swipe right to add item to cart.",399.05,3.8
Chicken & French Fries Bucket,Non-veg item,Crowd-favorite combo of 2pc Hot & Crispy chicken with Medium Fries This item is customizable. Swipe right to add item to cart.,299.05,4.9
Chicken Popcorn & French Fries Bucket,Non-veg item,Relish the Snack Bucket with Large Chicken Popcorn & Medium size Fries This item is customizable. Swipe right to add item to cart.,328.57,4.0
2 X Veg Krispers Burger Meal,Veg Item,"2 veg value burgers, crispy medium fries & 2 delicious dips (20 gm each) at a deal price This item is customizable. Swipe right to add item to cart.",299.05,NA
Ultimate Savings Chicken Bucket,Non-veg item,"Savings of 32% on signature bucket of 4pc Hot & crispy chicken, 6 Pc Wings, 4 Chicken Peri Peri Boneless strips, 2 Dips (20 gms each) & a Pepsi PET 475ml [serves 2-3 ] This item is customizable. Swipe right to add item to cart.",728.57,4.1
All in One Chicken Bucket,Non-veg item,"1 Leg, 1 Hot & Crispy, 2 Wings, 2 Strips, 1 Zinger Fillet, 3 Dips [20gm each] & 1 Pepsi 475 ml This item is customizable. Swipe right to add item to cart.",568.57,3.9
Stay Home Chicken Bucket,Non-veg item,"Save 21% on 4 Hot & Crispy, 4 Wings, 6 Peri Strips & 2 dips (20gm each) This item is customizable. Swipe right to add item to cart.",819.05,3.6
Big 12 - Chicken Bucket,Non-veg item,"6pc Hot & Crispy Chicken,6 Wings & 2 Dips(20gm each) This item is customizable. Swipe right to add item to cart.",768.57,4.3
Big 8 - Chicken Bucket,Non-veg item,"Save Rs. 117 on this variety bucket of 2pc Hot & Crispy chicken, 2 Pc Strips & 4pc Smoky Red chicken [serves 2- 3 ] This item is customizable. Swipe right to add item to cart.",728.57,2.7
Duo Popcorn Chicken Rice Bowlz,Non-veg item,Save Rs. 30 on beloved Chicken Rice Bowlz served with signature Popcorn This item is customizable. Swipe right to add item to cart.,428.57,5.0
Classic Chicken Rice Bowlz,Non-veg item,Rice Bowlz Attack!- Grab this aromatic Rice Bowlz rice with 1 piece Hot & Cripsy & gravy This item is customizable. Swipe right to add item to cart.,241,4.4
Smoky Red Chicken Rice Bowlz,Non-veg item,Rice Bowlz Attack!- Grab this aromatic Rice Bowlz with smoky grilled chicken & gravy! This item is customizable. Swipe right to add item to cart.,241,3.9
Popcorn Chicken Rice Bowlz,Non-veg item,Rice Bowlz Attack!- Grab this aromatic Rice Bowlz with chicken popcorn & gravy! This item is customizable. Swipe right to add item to cart.,241,4.1
Veg Rice Bowlz,Veg Item,Rice Bowlz Attack!- Grab this aromatic Rice Bowlz with gravy now! This item is customizable. Swipe right to add item to cart.,209,4.1
Popcorn Chicken Rice Bowlz & Wings Meal,Non-veg item,Deal Savings of Rs. 118 on 2 units of Chicken Popcorn Rice Bowlz and 8 Pc Hot Wings Swipe right to add item to cart.,699.05,NA
Plain Rice Bowlz,Veg Item,Aromatic Plain Rice- perfect go along to make a wholesome meal! This item is customizable. Swipe right to add item to cart.,146,4.3
Hot & Crispy Chicken - 8 pcs,Non-veg item,8 pc Hot & Cripsy This item is customizable. Swipe right to add item to cart.,839,4.2
Hot & Crispy Chicken - 6 pcs,Non-veg item,Flat 10% off on 6pc signature Hot & crispy chicken This item is customizable. Swipe right to add item to cart.,619.04,3.3
Hot & Crispy Chicken - 4 pcs,Non-veg item,4 pcs of signature Hot & crispy chicken at a deal price This item is customizable. Swipe right to add item to cart.,439.04,3.9
Hot & Crispy Chicken- 2 pcs,Non-veg item,Get 2 piece Hot & Crispy Chicken This item is customizable. Swipe right to add item to cart.,241,4.2
Hot Chicken Wings - 4 pcs,Non-veg item,Snack on the 4 pc Chicken Hot Wings Snack with your KFC Meal This item is customizable. Swipe right to add item to cart.,179.04,4.4
Hot & Crispy Chicken - 1 pc,Non-veg item,Get the 1piece Hot & Crispy Chicken This item is customizable. Swipe right to add item to cart.,115.23,4.2
Saucy Popcorn x CarryMinati,Non-veg item,Special limited time Signature bite sized Boneless Chicken Popcorn in a Sweet and Spicy flavour for ultimate Taste Explosion Swipe right to add item to cart.,229,NA
Chicken Popcorn - Large,Non-veg item,Large Pack of Chicken Popcorn seasoned with the Chili Lime flavours This item is customizable. Swipe right to add item to cart.,261,4.6
Chicken Popcorn - Medium,Non-veg item,Medium Pack of Chicken Popcorn seasoned with the Chili Lime flavours This item is customizable. Swipe right to add item to cart.,89,4.4
Chicken Popcorn - Regular,Non-veg item,Regular Pack of Chicken Popcorn seasoned with the Chili Lime flavours This item is customizable. Swipe right to add item to cart.,115.23,4.1
Smoky Red Grilled Chicken - 5 pc,Non-veg item,Grab 5 pc Smoky Red Chicken - grilled to perfection This item is customizable. Swipe right to add item to cart.,539.04,3.3
