Product Name,Veg/Non-Veg,Description,Cost,Rating
Dal Ki Tikki,Veg Item,Mix chatpati daal ki tikki 16 pie's Swipe right to add item to cart.,269,3.3
Aloo Tamator Latpataar Sabji,Veg Item,Aloo tamator latpataar chatpati semi grevy sabji Swipe right to add item to cart.,260,3.8
Aloo Tamator Latpataar Sabji,Veg Item,Aloo tamator latpataar chatpati semi grevy sabji Swipe right to add item to cart.,260,3.0
Butter Tava Roti 1Pcs,Veg Item,"Indulge in the delightful taste of our buttery and soft tava roti, perfect for those late-night cravings. Swipe right to add item to cart.",25,3.2
Stuff Baigan,Veg Item,A flavorsome and savory dish that will satisfy your late-night cravings with its rich and luscious blend of ingredients. Swipe right to add item to cart.,220,3.0
Puri Sabji,Veg Item,"Seasonal veg 5 pudi salad,achaar, rayta Swipe right to add item to cart.",199,3.6
Baigan Bharta,Veg Item,Bhune baigan ka bharta with mashed potato Swipe right to add item to cart.,220,3.4
Kathal with paratha,Veg Item,4 pcs paratha Swipe right to add item to cart.,220,3.7
Kathal with paratha,Veg Item,4 pcs paratha Swipe right to add item to cart.,220,2.9
Kheer,Veg Item,"A delectable vegetarian dessert that blends creamy textures with sweet flavors, creating a delightful treat for any occasion. Swipe right to add item to cart.",220,3.4
Dal Ki Tikki,Veg Item,Mix chatpati daal ki tikki 16 pie's Swipe right to add item to cart.,269,2.8
Aloo Tamator Latpataar Sabji,Veg Item,Aloo tamator latpataar chatpati semi grevy sabji Swipe right to add item to cart.,260,3.1
Aloo Tamator Latpataar Sabji,Veg Item,Aloo tamator latpataar chatpati semi grevy sabji Swipe right to add item to cart.,260,3.1
Butter Tava Roti 1Pcs,Veg Item,"Indulge in the delightful taste of our buttery and soft tava roti, perfect for those late-night cravings. Swipe right to add item to cart.",25,3.2
Stuff Baigan,Veg Item,A flavorsome and savory dish that will satisfy your late-night cravings with its rich and luscious blend of ingredients. Swipe right to add item to cart.,220,2.8
Puri Sabji,Veg Item,"Seasonal veg 5 pudi salad,achaar, rayta Swipe right to add item to cart.",199,3.7
Baigan Bharta,Veg Item,Bhune baigan ka bharta with mashed potato Swipe right to add item to cart.,220,2.7
Kathal with paratha,Veg Item,4 pcs paratha Swipe right to add item to cart.,220,3.6
Kathal with paratha,Veg Item,4 pcs paratha Swipe right to add item to cart.,220,3.7
Egg thal,Veg Item,"4 roti, rice, rayta, salad, egg Curry Swipe right to add item to cart.",290,3.1
Vrat Falahaar,Veg Item,"Aaloo, sabudana,, Dhaniya, makhana, sendha namak Swipe right to add item to cart.",230,3.1
Hare Matar Ki Kachori,Veg Item,"Experience the delectable flavors of Hare Matar Ki Kachori, a mouthwatering vegetarian delight from the Thaal category that will tantalize your taste buds. Swipe right to add item to cart.",360,3.4
"Makhane, Kaju, Paneer Ki Mix Sbzi",Veg Item,"A delectable mix of crunchy makhane, rich kaju, and velvety paneer, creating a mouthwatering veg dish that will leave you craving for more. Swipe right to add item to cart.",399,2.7
Aaloo Gobhi Hare Matar Ki Sbzi,Veg Item,"A delectable Thaal dish bursting with flavors of potatoes, cauliflower, and fresh green peas cooked to perfection. Swipe right to add item to cart.",300,3.6
Kadhai Paneer With Lacche Paraathe,Veg Item,"A flavorful and aromatic combination of succulent paneer cooked in a traditional kadhai gravy, served with flaky and buttery lacche paraathe. Swipe right to add item to cart.",390,2.8
Combo Thaal,Veg Item,"Achar, mix veg, maide ke 4 prathe, with kullad vali chai, adrak ilaychi Swipe right to add item to cart.",299,3.2
Mix veg namkin pulao,Veg Item,"A delightful and flavorful mixed vegetable rice dish, perfect for those seeking a delightful blend of textures and flavors. Swipe right to add item to cart.",230,2.7
Combo meal,Veg Item,"Matar paneer Greavy, rice Swipe right to add item to cart.",199,2.6
Lunch,Veg Item,"4 roti,Rice,Dal, Seasonal veg, Salad Swipe right to add item to cart.",250,3.8
Dinner,Veg Item,4 roti Fry daal Rice Dry veg Salad Swipe right to add item to cart.,250,3.6
Aloo Sabudana Falhari,Veg Item,Aloo sabudana tamator sendha namak peanut with green chilli nd juicy lemon This item is customizable. Swipe right to add item to cart.,360,3.6
Sabudana Khichdi,Veg Item,Chatpati Sabudana khichdi This item is customizable. Swipe right to add item to cart.,350,3.0
"Kuttu Ki Poori, Aloo Sabji",Veg Item,4 pcs kuttu ki poori with chatpati aloo ko sabji This item is customizable. Swipe right to add item to cart.,300,3.0
Kuttu Ki Poori,Veg Item,6 pcs This item is customizable. Swipe right to add item to cart.,260,3.6
Sabudana Kheer,Veg Item,With lots of dry fruits Swipe right to add item to cart.,320,3.8
Aloo Sandwich,Veg Item,A flavorful and satisfying snack filled with a delightful mix veg potatoes combination of ingredients. Swipe right to add item to cart.,260,3.2
Tulsi Tea,Veg Item,A refreshing and aromatic tea that will transport you to a world of soothing flavors and delightful indulgence. Swipe right to add item to cart.,55,3.3
Ilayachi Tea,Veg Item,"A fragrant and soothing tea bursting with warm flavors, perfect for a relaxing afternoon. Swipe right to add item to cart.",55,3.5
Masala Tea,Veg Item,An aromatic and flavorful blend of warm spices and fragrant tea leaves bursting with savory and delightful flavors. Swipe right to add item to cart.,55,2.8
Dahi Lassi,Veg Item,Dahi and dry fruit's A refreshing and creamy yogurt-based beverage perfect for a quick and satisfying snack. Swipe right to add item to cart.,120,3.4
Chanch,Veg Item,Masala chanch Swipe right to add item to cart.,90,3.1
Omlet,Non-veg item,2pcs egg...A delectable egg-omlet that's perfect for any time of the day. Swipe right to add item to cart.,110,2.5
Bread Omlet,Non-veg item,2 egg with four slice bread Swipe right to add item to cart.,169,3.5
Bread (2 Slice),Non-veg item,A delightful and satisfying snack featuring two slices of bread Swipe right to add item to cart.,69,2.8
Boil Egg (4 Pcs),Non-veg item,"Satisfy your snack cravings with these perfectly boiled eggs that are simple, satisfying, and packed with protein. Swipe right to add item to cart.",199,2.8
Half Fry Egg,Non-veg item,Serve with 2 eggs and 2 pcs bread Swipe right to add item to cart.,199,3.0
Punjaabi Besun Curry Rice,Veg Item,"A flavorful and aromatic Punjabi curry served with fluffy rice, perfect for lunch nd dinner Swipe right to add item to cart.",260,3.7
Arhar Urad Mix Dal,Veg Item,"A delectable mix of lentils, bursting with flavor and perfect for a quick and satisfying mix dal Swipe right to add item to cart.",250,3.4
